0Hz,1Hz,2Hz,3Hz,4Hz,5Hz,6Hz,7Hz,8Hz,9Hz,10Hz,11Hz,12Hz,13Hz,14Hz,15Hz,16Hz,17Hz,18Hz,19Hz,20Hz,21Hz,22Hz,23Hz,24Hz,25Hz,26Hz,27Hz,28Hz,29Hz,30Hz,31Hz,32Hz,33Hz,34Hz,35Hz,36Hz,37Hz,38Hz,39Hz,40Hz,41Hz,42Hz,43Hz,44Hz,45Hz,46Hz,47Hz,48Hz,49Hz,50Hz,51Hz,52Hz,53Hz,54Hz,55Hz,56Hz,57Hz,58Hz,59Hz,60Hz,61Hz,62Hz,63Hz
1,784,652,385,264,377,657,702,20189,880,578,433,826,411,609,686,17343,886,435,420,1855,443,540,679,13371,743,236,272,4240,540,499,626,9171,474,15,129,9775,772,525,580,5573,283,235,487,21353,1064,597,639,3088,482,443,898,47486,1289,658,763,1784,720,591,1213,163968,1351,663,816
1,784,652,385,264,377,657,702,20189,880,578,433,826,411,609,686,17343,886,435,420,1855,443,540,679,13371,743,236,272,4240,540,499,626,9171,474,15,129,9775,772,525,580,5573,283,235,487,21353,1064,597,639,3088,482,443,898,47486,1289,658,763,1784,720,591,1213,163968,1351,663,816
1,777,329,82,641,227,311,573,19728,965,312,99,1083,343,236,383,16813,1085,386,252,1941,377,215,214,12748,1087,562,444,4095,311,302,166,8454,954,724,674,9498,250,365,310,4775,716,783,897,21066,423,334,451,2228,466,707,1047,47277,707,244,504,882,372,519,1070,163891,948,304,452
1,905,313,408,936,442,445,811,19469,945,253,332,1085,386,537,694,16750,901,290,258,1618,209,519,548,12914,776,337,234,3911,77,370,349,8772,636,393,348,9638,424,116,92,5082,594,497,579,21387,756,190,206,2347,658,618,833,47576,996,459,472,733,708,683,1025,164011,1090,634,651
1,905,313,408,936,442,445,811,19469,945,253,332,1085,386,537,694,16750,901,290,258,1618,209,519,548,12914,776,337,234,3911,77,370,349,8772,636,393,348,9638,424,116,92,5082,594,497,579,21387,756,190,206,2347,658,618,833,47576,996,459,472,733,708,683,1025,164011,1090,634,651
1,905,313,408,936,442,445,811,19469,945,253,332,1085,386,537,694,16750,901,290,258,1618,209,519,548,12914,776,337,234,3911,77,370,349,8772,636,393,348,9638,424,116,92,5082,594,497,579,21387,756,190,206,2347,658,618,833,47576,996,459,472,733,708,683,1025,164011,1090,634,651
1,905,313,408,936,442,445,811,19469,945,253,332,1085,386,537,694,16750,901,290,258,1618,209,519,548,12914,776,337,234,3911,77,370,349,8772,636,393,348,9638,424,116,92,5082,594,497,579,21387,756,190,206,2347,658,618,833,47576,996,459,472,733,708,683,1025,164011,1090,634,651
1,892,276,370,907,460,435,857,19443,870,163,235,1112,453,548,784,16749,763,146,100,1772,332,559,669,12952,576,130,98,4114,198,463,504,8862,397,166,282,9816,380,338,342,5236,422,331,522,21521,676,365,366,2566,593,515,765,47659,905,522,548,1010,707,633,944,164039,1000,635,690
1,892,276,370,907,460,435,857,19443,870,163,235,1112,453,548,784,16749,763,146,100,1772,332,559,669,12952,576,130,98,4114,198,463,504,8862,397,166,282,9816,380,338,342,5236,422,331,522,21521,676,365,366,2566,593,515,765,47659,905,522,548,1010,707,633,944,164039,1000,635,690
1,892,276,370,907,460,435,857,19443,870,163,235,1112,453,548,784,16749,763,146,100,1772,332,559,669,12952,576,130,98,4114,198,463,504,8862,397,166,282,9816,380,338,342,5236,422,331,522,21521,676,365,366,2566,593,515,765,47659,905,522,548,1010,707,633,944,164039,1000,635,690
